iter	Passed	Remaining
803	6347	1547
804	6353	1539
805	6361	1531
806	6368	1523
807	6376	1515
808	6383	1507
809	6390	1499
810	6397	1490
811	6403	1482
812	6410	1474
813	6418	1466
814	6425	1458
815	6432	1450
816	6438	1442
817	6446	1434
818	6453	1426
819	6460	1418
820	6467	1410
821	6474	1402
822	6481	1394
823	6489	1386
824	6496	1378
825	6503	1369
826	6510	1362
827	6517	1353
828	6525	1345
829	6531	1337
830	6539	1329
831	6545	1321
832	6552	1313
833	6559	1305
834	6565	1297
835	6572	1289
836	6579	1281
837	6585	1273
838	6592	1265
839	6598	1256
840	6606	1249
841	6613	1241
842	6620	1232
843	6627	1224
844	6634	1216
845	6641	1209
846	6647	1200
847	6655	1192
848	6662	1184
849	6669	1177
850	6676	1168
851	6683	1160
852	6689	1152
853	6696	1144
854	6703	1136
855	6709	1128
856	6716	1120
857	6725	1112
858	6733	1105
859	6741	1097
860	6748	1089
861	6756	1081
862	6764	1073
863	6772	1066
864	6780	1058
865	6788	1050
866	6795	1042
867	6803	1034
868	6810	1026
869	6820	1019
870	6827	1011
871	6835	1003
872	6842	995
873	6852	987
874	6861	980
875	6868	972
876	6875	964
877	6883	956
878	6889	948
879	6896	940
880	6903	932
881	6909	924
882	6916	916
883	6923	908
884	6930	900
885	6937	892
886	6944	884
887	6952	876
888	6959	868
889	6967	861
890	6974	853
891	6981	845
892	6988	837
893	6994	829
894	7001	821
895	7008	813
896	7015	805
897	7022	797
898	7030	789
899	7037	781
900	7044	774
901	7054	766
902	7061	758
903	7068	750
904	7074	742
905	7082	734
906	7089	726
907	7097	719
908	7103	711
909	7110	703
910	7118	695
911	7124	687
912	7131	679
913	7138	671
914	7146	663
915	7152	655
916	7158	647
917	7165	640
918	7171	632
919	7178	624
920	7184	616
921	7190	608
922	7198	600
923	7205	592
924	7212	584
925	7220	576
926	7227	569
927	7233	561
928	7239	553
929	7247	545
930	7254	537
931	7261	529
932	7268	521
933	7275	514
934	7282	506
935	7288	498
936	7295	490
937	7302	482
938	7310	474
939	7318	467
940	7325	459
941	7332	451
942	7339	443
943	7349	435
944	7356	428
945	7363	420
946	7370	412
947	7378	404
948	7385	396
949	7393	389
950	7399	381
951	7407	373
952	7415	365
953	7421	357
954	7429	350
955	7435	342
956	7443	334
957	7450	326
958	7458	318
959	7465	311
960	7472	303
961	7479	295
962	7486	287
963	7493	279
964	7500	272
965	7508	264
966	7516	256
967	7524	248
968	7530	240
969	7537	233
970	7545	225
971	7552	217
972	7559	209
973	7565	201
974	7572	194
975	7579	186
976	7586	178
977	7593	170
978	7599	163
979	7607	155
980	7614	147
981	7621	139
982	7628	131
983	7635	124
984	7643	116
985	7650	108
986	7657	100
987	7664	93
988	7671	85
989	7678	77
990	7685	69
991	7692	62
992	7698	54
993	7706	46
994	7713	38
995	7720	31
996	7727	23
997	7733	15
998	7741	7
999	7748	0
